freq_hz,R1_dB,R2_dB,R3_dB,R4_dB,R5_dB,R6_dB
2.352815745603057351e+01,3.283863648431515969e+01,3.007451582192136641e+01,3.591315188544389514e+01,3.559470687162708202e+01,3.560034724134513340e+01,2.011594661841332865e+01
2.372260503831181566e+01,2.261848573264835949e+01,1.398788804222703064e+01,2.482842789623335733e+01,2.548433386069085316e+01,2.494481756046459964e+01,1.855604894551827400e+01
2.391705262059306136e+01,3.278828422691420741e+01,3.092385133337561243e+01,3.608387925586698941e+01,3.605191191228718139e+01,3.613120276183563817e+01,2.613795195925634829e+01
2.411150020287430351e+01,3.577256926100717038e+01,3.208071753797767656e+01,3.680810822397724991e+01,3.657143922516450374e+01,3.686577341468175462e+01,3.017610245962380233e+01
2.430594778515554921e+01,3.164388938902115811e+01,2.714157931216987762e+01,3.263486634494848460e+01,3.274293828212851309e+01,3.286735790299879767e+01,2.932352505331135362e+01
2.450039536743679491e+01,3.400913343128366506e+01,3.435281397639791834e+01,3.758007994682899522e+01,3.789490887582658729e+01,3.789541215423930254e+01,3.569510543703233907e+01
2.469484294971803706e+01,3.530134928782921122e+01,3.981676949200218019e+01,4.030601490823519839e+01,4.036238516795778253e+01,4.041999148490916838e+01,3.918212587939439828e+01
2.488929053199928276e+01,3.536344060865302197e+01,3.997361319908742416e+01,3.917388419457410720e+01,3.868355054008411997e+01,3.874066792871318654e+01,3.857090386640622626e+01
2.508373811428052846e+01,3.122784058873264712e+01,3.632689056115426496e+01,3.708714257301893724e+01,3.661630891765078388e+01,3.604001793738093085e+01,3.638579410413900206e+01
2.527818569656177061e+01,2.191433021559085859e+01,3.364957187079188117e+01,3.753997292886013781e+01,3.720838243869658157e+01,3.623168715611799229e+01,3.594102436895398966e+01
2.547263327884301631e+01,2.664613859598070178e+01,3.574475370873025071e+01,4.038002208959117212e+01,3.971181959402540684e+01,3.878361533520715909e+01,3.767652678381944042e+01
2.566708086112426201e+01,3.323768280899106742e+01,3.713768510420324276e+01,4.219062226563391960e+01,4.118606134371117378e+01,4.021331194633856398e+01,3.818273674544342811e+01
2.586152844340550416e+01,3.051723556209598343e+01,3.258108385874887603e+01,4.155784031905002962e+01,4.083086128322750596e+01,3.961498974095923842e+01,3.626207507732231505e+01
2.605597602568674986e+01,2.254430613973515207e+01,2.039997521132329794e+01,3.534302382918452423e+01,3.500205661534595691e+01,3.382737278442591844e+01,2.964581671656023332e+01
2.625042360796799201e+01,2.750398834533086401e+01,2.480533043850290298e+01,3.812578926367456944e+01,3.771798332133090526e+01,3.669304358477460681e+01,3.180636318309254307e+01
2.644487119024923771e+01,3.704109317049407224e+01,3.394953548861067105e+01,4.352672865325607177e+01,4.278347779775889137e+01,4.205366085891922978e+01,3.667427444404329151e+01
2.663931877253048341e+01,3.459838932108094411e+01,3.080668710245471686e+01,4.217880258662567883e+01,4.161222176615635249e+01,4.083061740851916710e+01,3.491145210584859626e+01
2.683376635481172556e+01,2.190068968289850915e+01,2.558339514518312896e+01,3.342331765494634510e+01,3.332372076565064134e+01,3.244782840183918182e+01,2.738168959373668798e+01
2.702821393709297126e+01,2.279906544043937089e+01,2.775781915913091424e+01,3.431749466780573954e+01,3.410212178364109548e+01,3.317521845834520633e+01,2.905664135309105234e+01
2.722266151937421697e+01,3.409310847349188123e+01,3.565352709276297816e+01,3.969898236016643267e+01,3.862551985176952485e+01,3.781552686028209109e+01,3.511111310263400753e+01
2.741710910165545911e+01,3.017923264678138651e+01,3.472798269874697752e+01,4.101600049002126980e+01,4.020199334293577920e+01,3.870453876753798284e+01,3.721316027230702161e+01
2.761155668393670481e+01,3.137646124876081899e+01,3.376324080852586462e+01,3.713964788979259879e+01,3.574228500529190455e+01,3.436504878158498144e+01,3.404174205530527786e+01
2.780600426621794696e+01,2.713156395610100446e+01,3.137047681304023783e+01,3.860230874747819030e+01,3.769223902321296293e+01,3.580110656368513844e+01,3.550736800345978850e+01
2.800045184849919266e+01,3.892080183440540964e+01,4.059813101275956626e+01,4.616661054899953598e+01,4.478532557731300301e+01,4.295235412390260876e+01,4.328760923499363145e+01
2.819489943078043837e+01,3.867329820524459194e+01,4.010764750726171712e+01,4.770718213020348486e+01,4.653404158391570888e+01,4.459151118650157741e+01,4.475098120329069218e+01
2.838934701306168051e+01,3.699782447755980996e+01,3.769735785579781862e+01,4.643559714282329765e+01,4.537674128460810152e+01,4.350972441948131575e+01,4.355028044070103732e+01
2.858379459534292621e+01,4.190570723063663650e+01,4.174704502956984697e+01,5.009338199833956651e+01,4.894919504569308089e+01,4.718989154827374932e+01,4.732799521612525950e+01
2.877824217762417192e+01,4.496221807480228705e+01,4.442072210515270569e+01,5.277497580035324631e+01,5.159015274246355887e+01,4.989727807056511466e+01,4.998242697825362058e+01
2.897268975990541406e+01,4.556309083410695848e+01,4.500631603668239933e+01,5.422661213262610858e+01,5.314048666435020607e+01,5.149565492982920034e+01,5.117772431785538600e+01
2.916713734218665977e+01,4.689702737515415265e+01,4.652812340969751403e+01,5.657568250225616424e+01,5.559360538048863276e+01,5.403273292805376826e+01,5.314736919842397356e+01
2.936158492446790547e+01,4.761334696636257746e+01,4.725031534198127758e+01,5.735802951558332552e+01,5.637864821388953374e+01,5.492258771227331238e+01,5.359608440810745122e+01
2.955603250674914761e+01,4.508371831828164034e+01,4.457659824833508821e+01,5.492661908603855636e+01,5.393384249108194695e+01,5.254741013260808558e+01,5.095044087153306123e+01
2.975048008903039332e+01,4.240769126461083260e+01,4.163744596025632916e+01,5.306998103949250378e+01,5.213299813146227280e+01,5.077538217162558709e+01,4.905994763689377436e+01
